DATA;PROVINCIA;LOCALITA;TIPO;TRAVOLTI;ILLESI;FERITI;MORTI
27/01/2006;Tn;Campregheri;6;2;2;0;0
28/01/2006;TN;San Martino Castrozz;3;1;1;;
28/01/2006;BL;Arten Fonzaso;7;1;1;;
28/01/2006;LC;Piani di Bobbio;8;1;1;;
29/01/2006;LC;Grignetta;5;1;;;1
29/01/2006;BS;Punta Almana;8;2;1;1;
29/01/2006;TN;Moena - Lusia;4;3;;3;
29/01/2006;TN;C.Paradisi-Caoria;2;2;2;;
29/01/2006;BG;Colere;3;2;2;;
01/02/2006;BL;Monte Tamer;1;1;1;;
04/02/2006;CN;Punta Incianao;1;1;;;1
04/02/2006;CN;Monte Sibolet;2;3;2;;1
07/02/2006;SO;Cima delle Mine;3;1;1;;
19/02/2006;TN;Brentonico;2;1;;;1
19/02/2006;TN;Storo;1;1;;1;
20/02/2006;BL;Livinallongo;6;1;1;;
20/02/2006;TO;Sestriere - Sises;3;0;;;
20/02/2006;UD;Bila Pec (A. Giulie);8;3;1;;2
20/02/2006;BZ;cittÖ dei sassi;8;1;1;;
21/02/2006;SO;Monte Vallecetta;3;1;1;;
21/02/2006;CN;Argentera;2;1;;;
21/02/2006;TO;Bardonecchia;3;2;2;;
21/02/2006;BL;Faloria- Cortina;4;1;;1;
23/02/2006;BG;Colere;3;2;2;;
25/02/2006;BL;Arabba;3;1;1;;
25/02/2006;CN;Argentera;3;0;;;
25/02/2006;BZ;Lappago;2;1;;1;
26/02/2006;SO;Vallaccia - Livigno;3;1;;;1
26/02/2006;AO;Punta Bettolina;3;1;;1;
26/02/2006;BZ;Val Giovo;2;1;;;1
26/02/2006;CN;Vallone di Bellino;8;1;;1;
26/02/2006;AO;Pila - Couiss 1;3;1;1;;
26/02/2006;BL;Alpago;1;3;;;
26/02/2006;BZ;Val Rosim Solda;3;1;;;1
27/02/2006;TO;Rio Nero;3;0;;;
03/03/2006;TN;Gruppo di Brenta;2;2;1;1;
03/03/2006;CN;Artesina;1;20;20;;
03/03/2006;CN;M.Bisalta;2;1;1;;
05/03/2006;BS;Monte Serodine;3;1;1;;
05/03/2006;CN;Argentera Bersezio;8;1;;1;
05/03/2006;TO;M.Cotolivier;1;1;;1;
05/03/2006;BL;Arabba;3;1;;;1
05/03/2006;SO;Monte Vallecetta;3;2;;;
05/03/2006;SO;Monte Serodine;3;1;1;;
05/03/2006;TO;M. Jafferau;3;0;;;
06/03/2006;BZ;Dobbiaco;2;1;;1;
07/03/2006;Tn;Fravort;2;1;;;1
08/03/2006;BZ;Val di Mazia;1;1;;;1
08/03/2006;BZ;Val Casies;1;2;1;1;
17/03/2006;CN;Crissolo;1;1;;;1
25/03/2006;CN;Monte Freide;1;2;1;1;0
25/03/2006;TN;Primiero-PaleS.Mart.;1;3;;3;
26/03/2006;SO;Monte Alpisella;2;1;1;;
26/03/2006;TN;Daone-M.gaBoazzo;5;1;;;1
01/04/2006;AO;Rif. Torino;3;1;0;1;
02/04/2006;SO;M.Vallecetta;3;2;2;;
09/04/2006;SO;Monte Forcellina;2;1;1;;
09/04/2006;TN;Marmolada;2;1;0;1;0
